[2025-02-26 13:12:06] User: ishigami_v (ID: 835549363186040872) | Channel: 1123969627895107584 | Command: !hello
[2025-02-26 13:16:06] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !points
[2025-02-26 13:16:15] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !start
[2025-02-26 13:16:44] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !start
[2025-02-26 13:17:01] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !start
[2025-02-26 13:17:19] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !start
[2025-02-26 13:19:47] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !msg c948149465188020235  https://cdn.discordapp.com/attachments/948149465188020235/1334508383444799508/RDT_20250130_1829035742546652605510678.gif?ex=67bfb908&is=67be6788&hm=8e8b7aabaf1c339645c71051e1a45f1b425266b49d232aaa6e0011bee52d71f6&
[2025-02-26 13:21:00] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !msg c948149465188020235 https://cdn.discordapp.com/attachments/1229054191130116159/1313849617078812726/Burnice_GOGO.gif?ex=67bfb68e&is=67be650e&hm=c93c82fb6544f1e29c137f04a239b7172b4c7a2b6ea7cfa63575f25e243eb134&
[2025-02-26 13:22:06] User: ishigami_v (ID: 835549363186040872) | Channel: 1344215379823689798 | Command: !hello
[2025-02-26 16:00:03] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !msg c948149465188020235 no nigga
[2025-02-26 16:02:07] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !msg c948149465188020235 https://tenor.com/view/momo-ayase-dandadan-absolute-cinema-anime-meme-gif-9396637480397653335
[2025-02-26 17:49:49] User: ishigami_v (ID: 835549363186040872) | Channel: 1062754445345177621 | Command: !hello
[2025-02-26 19:05:17] User: ishigami_v (ID: 835549363186040872) | Channel: 948149465188020235 | Command: !repli ok
[2025-02-26 19:05:29] User: ishigami_v (ID: 835549363186040872) | Channel: 948149465188020235 | Command: !repli 2,ok
[2025-02-26 19:05:48] User: zoro_3339 (ID: 545179688738488320) | Channel: 956607195036925992 | Command: !drop
[2025-02-26 20:04:44] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !hello
[2025-02-26 20:04:47] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !drop
[2025-02-26 20:04:55] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !ok
[2025-03-01 21:49:25] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !hello
